player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Roark, Tanner",FF,2020,89.7,89.2,5.9,hit_into_play,2032,0.45,1.6,1
"Gomber, Austin",FF,2020,93.5,94,6.6,foul,2177,,,
"Skubal, Tarik",FF,2020,91.5,91,6.2,foul,2149,,,
"Voth, Austin",FF,2020,91.3,91.4,6.5,foul,2221,,,
"Pivetta, Nick",FF,2020,93.2,93.3,6.7,foul,2318,,,
"Rodriguez, Nivaldo",FF,2020,91.9,91.6,5.9,foul,1830,,,
"Smyly, Drew",FF,2020,91.9,90.7,5.6,foul,2250,,,
"Brubaker, JT",SI,2020,92.4,91.6,5.8,hit_into_play,2223,0.316,0,1
"Pivetta, Nick",FF,2020,92.3,93,6.8,foul,2251,,,
"Voth, Austin",FC,2020,87.5,87.8,6.3,foul,2437,,,
"De Jong, Chase",FF,2020,92.6,89.7,4.4,hit_into_play,2343,0.403,0.9,1
"Hill, Rich",FF,2020,87.0,86.8,6.2,hit_into_play,2350,0.064,0,1
"Alzolay, Adbert",FF,2020,94.7,94.4,6.1,foul,2438,,,
"Singer, Brady",SI,2020,91.8,92.7,6.7,foul,2195,,,
"Nola, Aaron",FF,2020,92.7,94.1,7.3,foul,2040,,,
"Schmidt, Clarke",FF,2020,94.0,93.2,5.6,swinging_strike,2617,,0,1
"Singer, Brady",SI,2020,92.8,93.9,6.7,swinging_strike,2225,,,
"Castano, Daniel",FF,2020,87.6,87.9,6.3,swinging_strike,2169,,0,1
"De Jong, Chase",FF,2020,92.1,91.6,6,swinging_strike,2318,,,
"Roark, Tanner",FF,2020,90.5,90.1,5.9,foul,2082,,,
"Montas, Frankie",FF,2020,96.8,96.3,5.9,foul,2547,,,
"Fleming, Josh",FF,2020,91.1,91.3,6.8,hit_into_play,2087,0.014,0,1
"Singer, Brady",SI,2020,92.4,93.3,6.6,hit_into_play,2206,0.88,0.9,1
"Schmidt, Clarke",FF,2020,95.1,94.9,6.1,foul,2443,,,
"Montas, Frankie",SI,2020,95.8,95.1,5.9,foul,2357,,,
"Skubal, Tarik",FF,2020,93.2,92.8,6.1,foul,2363,,,
"Alzolay, Adbert",FF,2020,93.7,93.3,6.1,foul_tip,2495,,,
"Fleming, Josh",FC,2020,85.4,85.8,6.6,foul,1888,,,
"Voth, Austin",FF,2020,91.7,91.9,6.4,hit_into_play,2222,0.056,0,1
"Gomber, Austin",FF,2020,94.4,95.3,6.7,hit_into_play,2243,0.129,0,1
"Rodriguez, Nivaldo",FF,2020,92.5,92.2,5.8,hit_into_play,1921,0.521,0.9,1
"Smyly, Drew",FF,2020,92.3,91.4,5.7,swinging_strike,2233,,,
"Skubal, Tarik",FF,2020,95.0,94.6,6.2,hit_into_play,2330,0.105,0,1
"Gonzales, Marco",SI,2020,87.7,87.7,6.6,foul,2335,,,
"Pivetta, Nick",FF,2020,92.1,92.7,6.8,hit_into_play,2199,0.066,0,1
"Castano, Daniel",SI,2020,89.3,89.6,6.4,swinging_strike,2291,,,
"Gray, Sonny",SI,2020,91.4,92.1,6.5,foul,2225,,,
"Hill, Rich",FF,2020,87.6,87.7,6.2,hit_into_play,2540,0.747,0.9,1
"De Jong, Chase",FF,2020,93.6,92.5,5.8,foul,2397,,,
"Smyly, Drew",FF,2020,93.9,93.5,5.8,hit_into_play,2265,0.788,1.25,1
"Brubaker, JT",SI,2020,92.2,91.7,5.8,foul,2124,,,
"Voth, Austin",FC,2020,88.0,88,6.2,hit_into_play,2442,0.848,0.9,1
"Gonzales, Marco",FC,2020,83.0,83.9,6.5,swinging_strike,2245,,0,1
"Skubal, Tarik",FF,2020,94.6,93.9,6.1,foul,2243,,,
"Schmidt, Clarke",FF,2020,94.8,94.2,6,hit_into_play,2520,0.378,0,1
"Roark, Tanner",SI,2020,90.8,90.5,5.9,hit_into_play,1997,0.011,0,1
"Fleming, Josh",FC,2020,85.4,86.2,6.7,foul_tip,1872,,,
"Skubal, Tarik",FF,2020,94.0,93.2,6,swinging_strike,2258,,,
"Matz, Steven",SI,2020,94.5,95.1,6.6,swinging_strike,2294,,0,1
"Montas, Frankie",FF,2020,95.2,94.7,5.9,foul,2450,,,
"Singer, Brady",SI,2020,94.0,95,6.6,foul,2243,,,
"Bumgarner, Madison",FC,2020,84.6,85.3,6.9,hit_into_play,2492,0.576,0,1
"Skubal, Tarik",FF,2020,92.8,92.3,6.1,foul,2336,,,
"Montas, Frankie",SI,2020,96.5,96.3,6,hit_into_play,2305,0.312,0,1
"Voth, Austin",FC,2020,86.7,86.8,6.4,hit_into_play,2445,0.078,0,1
"De Jong, Chase",FF,2020,92.8,92.5,6,foul,2382,,,
"Wilson, Bryse",FF,2020,93.8,94.6,6.7,hit_into_play,2059,0.082,0,1
"Smyly, Drew",FF,2020,94.0,93.7,5.9,foul,1633,,,
"Singer, Brady",SI,2020,93.9,94.4,6.7,foul,2232,,,
"Castano, Daniel",FF,2020,88.3,88.2,6.3,hit_into_play,2454,0.581,0.9,1
"Matz, Steven",SI,2020,93.7,94.5,6.7,swinging_strike,2242,,,
"Fleming, Josh",SI,2020,91.3,91.1,6.6,foul,1970,,,
